Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"HA","01/01/2015","0050","N390HA","HNL","06:55","06:58"
"HA","01/01/2016","0050","N395HA","HNL","06:55","06:32"
"HA","01/01/2017","0050","N383HA","HNL","06:55","06:40"
"HA","01/01/2018","0050","N389HA","HNL","06:55","07:21"
"HA","01/01/2019","0050","N392HA","HNL","06:55","07:05"
"HA","01/02/2015","0050","N383HA","HNL","06:55","07:10"
"HA","01/02/2016","0050","N384HA","HNL","06:55","06:38"
"HA","01/02/2017","0050","N375HA","HNL","06:55","07:22"
"HA","01/02/2018","0050","N382HA","HNL","06:55","07:52"
"HA","01/02/2019","0050","N374HA","HNL","06:55","07:03"
"HA","01/03/2015","0050","N396HA","HNL","06:55","07:14"
"HA","01/03/2016","0050","N399HA","HNL","06:55","06:28"
"HA","01/03/2017","0050","N373HA","HNL","06:55","07:14"
"HA","01/03/2018","0050","N391HA","HNL","06:55","11:32"
"HA","01/03/2019","0050","N388HA","HNL","06:55","07:11"
"HA","01/04/2015","0050","N385HA","HNL","06:55","06:44"
"HA","01/04/2016","0050","N389HA","HNL","06:55","06:26"
"HA","01/04/2017","0050","N370HA","HNL","06:55","07:42"
"HA","01/04/2018","0050","N384HA","HNL","06:55","14:37"
"HA","01/04/2019","0050","N390HA","HNL","06:55","07:18"
"HA","01/05/2015","0050","N395HA","HNL","06:55","06:35"
"HA","01/05/2016","0050","N393HA","HNL","06:55","06:08"
"HA","01/05/2017","0050","N382HA","HNL","06:55","07:17"
"HA","01/05/2018","0050","N396HA","HNL","06:55","08:39"
"HA","01/05/2019","0050","N378HA","HNL","06:55","06:31"
"HA","01/06/2015","0050","N390HA","HNL","06:55","06:59"
"HA","01/06/2016","0050","N375HA","HNL","06:55","07:27"
"HA","01/06/2017","0050","N381HA","HNL","06:55","07:00"
"HA","01/06/2018","0050","N384HA","HNL","06:55","07:24"
"HA","01/06/2019","0050","N393HA","HNL","06:55","06:22"
"HA","01/07/2015","0050","N380HA","HNL","06:55","06:47"
"HA","01/07/2016","0050","N388HA","HNL","06:55","06:44"
"HA","01/07/2017","0050","N374HA","HNL","06:55","08:21"
"HA","01/07/2018","0050","N375HA","HNL","06:55","07:10"
"HA","01/07/2019","0050","N391HA","HNL","06:55","07:45"
"HA","01/08/2015","0050","N399HA","HNL","06:55","06:28"
"HA","01/08/2016","0050","N396HA","HNL","06:55","06:32"
"HA","01/08/2017","0050","N391HA","HNL","06:55","06:42"
"HA","01/08/2018","0050","N360HA","HNL","06:55","07:49"
"HA","01/08/2019","0050","N379HA","HNL","06:55","06:49"
"HA","01/09/2015","0050","N391HA","HNL","06:55","06:31"
"HA","01/09/2016","0050","N395HA","HNL","06:55","06:39"
"HA","01/09/2017","0050","N382HA","HNL","06:55","06:15"
"HA","01/09/2018","0050","N386HA","HNL","06:55","07:29"
"HA","01/09/2019","0050","N399HA","HNL","06:55","06:21"
"HA","01/10/2015","0050","N385HA","HNL","06:55","06:57"
"HA","01/10/2016","0050","N396HA","HNL","06:55","06:49"
"HA","01/10/2017","0050","N378HA","HNL","06:55","06:26"
"HA","01/10/2018","0050","N382HA","HNL","06:55","07:35"
"HA","01/10/2019","0050","N360HA","HNL","06:55","06:35"
"HA","01/11/2015","0050","N374HA","HNL","06:55","06:42"
"HA","01/11/2016","0050","N388HA","HNL","06:55","06:37"
"HA","01/11/2017","0050","N379HA","HNL","06:55","06:59"
"HA","01/11/2018","0050","N391HA","HNL","06:55","07:14"
"HA","01/11/2019","0050","N374HA","HNL","06:55","06:44"
"HA","01/12/2015","0050","N395HA","HNL","06:55","06:54"
"HA","01/12/2016","0050","N382HA","HNL","06:55","06:23"
"HA","01/12/2017","0050","N380HA","HNL","06:55","06:55"
"HA","01/12/2018","0050","N375HA","HNL","06:55","07:23"
"HA","01/12/2019","0050","N393HA","HNL","06:55","07:06"
"HA","01/13/2015","0050","N380HA","HNL","06:55","07:03"
"HA","01/13/2016","0050","N391HA","HNL","06:55","06:49"
"HA","01/13/2017","0050","N390HA","HNL","06:55","06:50"
"HA","01/13/2018","0050","N375HA","HNL","06:55","07:56"
"HA","01/13/2019","0050","N374HA","HNL","06:55","07:07"
"HA","01/14/2015","0050","N390HA","HNL","06:55","07:12"
"HA","01/14/2016","0050","N383HA","HNL","06:55","06:51"
"HA","01/14/2017","0050","N375HA","HNL","06:55","07:01"
"HA","01/14/2018","0050","N385HA","HNL","06:55","07:04"
"HA","01/14/2019","0050","N381HA","HNL","06:55","07:00"
"HA","01/15/2015","0050","N399HA","HNL","06:55","06:26"
"HA","01/15/2016","0050","N385HA","HNL","06:55","06:40"
"HA","01/15/2017","0050","N370HA","HNL","06:55","07:56"
"HA","01/15/2018","0050","N388HA","HNL","06:55","07:15"
"HA","01/15/2019","0050","N388HA","HNL","06:55","06:40"
"HA","01/16/2015","0050","N373HA","HNL","06:55","06:43"
"HA","01/16/2016","0050","N399HA","HNL","06:55","06:17"
"HA","01/16/2017","0050","N373HA","HNL","06:55","07:35"
"HA","01/16/2018","0050","N370HA","HNL","06:55","07:07"
"HA","01/16/2019","0050","N380HA","HNL","06:55","06:35"
"HA","01/17/2015","0050","N391HA","HNL","06:55","06:46"
"HA","01/17/2016","0050","N373HA","HNL","06:55","06:48"
"HA","01/17/2017","0050","N393HA","HNL","06:55","07:04"
"HA","01/17/2018","0050","N384HA","HNL","06:55","06:44"
"HA","01/17/2019","0050","N381HA","HNL","06:55","06:33"
"HA","01/18/2015","0050","N393HA","HNL","06:55","06:35"
"HA","01/18/2016","0050","N391HA","HNL","06:55","06:27"
"HA","01/18/2017","0050","N391HA","HNL","06:55","07:00"
"HA","01/18/2018","0050","N391HA","HNL","06:55","07:04"
"HA","01/18/2019","0050","N386HA","HNL","06:55","07:44"
"HA","01/19/2015","0050","N380HA","HNL","06:55","06:49"
"HA","01/19/2016","0050","N393HA","HNL","06:55","06:19"
"HA","01/19/2017","0050","N384HA","HNL","06:55","07:21"
"HA","01/19/2018","0050","N388HA","HNL","06:55","07:04"
"HA","01/19/2019","0050","N375HA","HNL","06:55","06:38"
"HA","01/20/2015","0050","N396HA","HNL","06:55","06:49"
"HA","01/20/2016","0050","N396HA","HNL","06:55","06:38"
"HA","01/20/2017","0050","N373HA","HNL","06:55","07:54"
"HA","01/20/2018","0050","N386HA","HNL","06:55","06:40"
"HA","01/20/2019","0050","N386HA","HNL","06:55","06:41"
"HA","01/21/2015","0050","N386HA","HNL","06:55","07:04"
"HA","01/21/2016","0050","N390HA","HNL","06:55","06:51"
"HA","01/21/2017","0050","N378HA","HNL","06:55","07:20"
"HA","01/21/2018","0050","N374HA","HNL","06:55","06:50"
"HA","01/21/2019","0050","N381HA","HNL","06:55","06:52"
"HA","01/22/2015","0050","N393HA","HNL","06:55","07:02"
"HA","01/22/2016","0050","","HNL","06:55","00:00"
"HA","01/22/2017","0050","N399HA","HNL","06:55","06:58"
"HA","01/22/2018","0050","N388HA","HNL","06:55","07:26"
"HA","01/22/2019","0050","N399HA","HNL","06:55","07:22"
"HA","01/23/2015","0050","N389HA","HNL","06:55","11:24"
"HA","01/23/2016","0050","N374HA","HNL","06:55","11:25"
"HA","01/23/2017","0050","N379HA","HNL","06:55","06:52"
"HA","01/23/2018","0050","N360HA","HNL","06:55","06:47"
"HA","01/23/2019","0050","N396HA","HNL","06:55","07:31"
"HA","01/24/2015","0050","N399HA","HNL","06:55","06:50"
"HA","01/24/2016","0050","N392HA","HNL","06:55","06:51"
"HA","01/24/2017","0050","N390HA","HNL","06:55","06:27"
"HA","01/24/2018","0050","N383HA","HNL","06:55","06:52"
"HA","01/24/2019","0050","N381HA","HNL","06:55","00:00"
"HA","01/25/2015","0050","N395HA","HNL","06:55","07:07"
"HA","01/25/2017","0050","N360HA","HNL","06:55","07:18"
"HA","01/25/2018","0050","N375HA","HNL","06:55","06:47"
"HA","01/25/2019","0050","N386HA","HNL","06:55","08:37"
"HA","01/26/2017","0050","N375HA","HNL","06:55","07:16"
"HA","01/26/2018","0050","N396HA","HNL","06:55","07:00"
"HA","01/26/2019","0050","N374HA","HNL","06:55","07:13"
"HA","01/27/2016","0050","N374HA","HNL","06:55","07:10"
"HA","01/27/2017","0050","N373HA","HNL","06:55","07:28"
"HA","01/27/2018","0050","N381HA","HNL","06:55","06:30"
"HA","01/27/2019","0050","N396HA","HNL","06:55","06:48"
"HA","01/28/2015","0050","N399HA","HNL","06:55","06:28"
"HA","01/28/2016","0050","N395HA","HNL","06:55","06:45"
"HA","01/28/2017","0050","N380HA","HNL","06:55","06:55"
"HA","01/28/2018","0050","N379HA","HNL","06:55","07:34"
"HA","01/28/2019","0050","N382HA","HNL","06:55","06:58"
"HA","01/29/2015","0050","N385HA","HNL","06:55","06:28"
"HA","01/29/2016","0050","N380HA","HNL","06:55","06:14"
"HA","01/29/2017","0050","N382HA","HNL","06:55","07:24"
"HA","01/29/2018","0050","N386HA","HNL","06:55","07:09"
"HA","01/29/2019","0050","N395HA","HNL","06:55","07:21"
"HA","01/30/2015","0050","N390HA","HNL","06:55","07:17"
"HA","01/30/2016","0050","N374HA","HNL","06:55","05:59"
"HA","01/30/2018","0050","N385HA","HNL","06:55","06:44"
"HA","01/30/2019","0050","N395HA","HNL","06:55","07:14"
"HA","01/31/2015","0050","N380HA","HNL","06:55","06:30"
"HA","01/31/2016","0050","N382HA","HNL","06:55","06:15"
"HA","01/31/2018","0050","N370HA","HNL","06:55","06:44"
"HA","01/31/2019","0050","N391HA","HNL","06:55","06:52"
"HA","02/01/2015","0050","N384HA","HNL","06:55","06:45"
"HA","02/01/2017","0050","N390HA","HNL","06:55","06:13"
