Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: PSA Airlines Inc. (OH)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"OH","01/01/2019","5210","N241PS","PIT","14:59","15:03"
"OH","01/01/2019","5444","N708PS","DCA","16:34","15:57"
"OH","01/01/2019","5458","N725PS","DCA","14:32","14:08"
"OH","01/01/2019","5511","N241PS","RDU","07:44","07:51"
"OH","01/02/2019","5210","N206PS","PIT","14:59","14:32"
"OH","01/02/2019","5444","N517AE","DCA","16:34","16:05"
"OH","01/02/2019","5458","N511AE","DCA","14:32","14:18"
"OH","01/02/2019","5511","N206PS","RDU","07:44","07:36"
"OH","01/03/2019","5210","N228PS","PIT","14:59","14:41"
"OH","01/03/2019","5444","N511AE","DCA","16:34","16:01"
"OH","01/03/2019","5458","N501BG","DCA","14:32","14:10"
"OH","01/03/2019","5511","N228PS","RDU","07:44","07:25"
"OH","01/04/2019","5210","N230PS","PIT","14:59","14:53"
"OH","01/04/2019","5444","N503AE","DCA","16:34","15:58"
"OH","01/04/2019","5458","N545PB","DCA","14:32","14:01"
"OH","01/04/2019","5511","N230PS","RDU","07:44","07:29"
"OH","01/05/2018","5019","N511AE","DCA","20:44","00:00"
"OH","01/05/2019","5210","N209PS","PIT","14:59","14:39"
"OH","01/05/2019","5350","N545PB","RDU","10:11","09:45"
"OH","01/05/2019","5458","N545PB","DCA","14:32","14:13"
"OH","01/05/2019","5511","N209PS","RDU","07:44","07:41"
"OH","01/06/2019","5444","N518AE","DCA","16:05","15:49"
"OH","01/06/2019","5458","N512AE","DCA","14:35","14:20"
