Detailed Statistics Arrivals  
Destination Airport: New York, NY: John F. Kennedy International (JFK)
Airline: US Airways Inc. (US)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2015, 2016, 2017, 2018 and 2019

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time
"US","01/01/2015","0425","N181UW","PHX","16:50","16:31"
"US","01/01/2015","0622","N663AW","PHX","23:12","22:51"
"US","01/01/2015","0630","N573UW","PHX","20:30","20:00"
"US","01/01/2015","0632","N182UW","PHX","05:04","04:47"
"US","01/01/2015","0639","N584UW","CLT","15:20","15:01"
"US","01/01/2015","1824","N519UW","CLT","20:30","21:09"
"US","01/01/2015","1830","N825AW","CLT","11:02","11:12"
"US","01/01/2015","1898","N112US","CLT","23:51","23:57"
"US","01/01/2015","2017","N644AW","CLT","16:06","16:20"
"US","01/02/2015","0425","N183UW","PHX","16:50","17:03"
"US","01/02/2015","0622","N604AW","PHX","23:12","23:04"
"US","01/02/2015","0630","N156UW","PHX","20:30","20:36"
"US","01/02/2015","0632","N185UW","PHX","05:04","04:51"
"US","01/02/2015","0639","N187US","CLT","15:20","15:00"
"US","01/02/2015","1824","N572UW","CLT","20:30","20:35"
"US","01/02/2015","1830","N185UW","CLT","11:02","10:51"
"US","01/02/2015","1898","N121UW","CLT","23:51","00:11"
"US","01/02/2015","2017","N117UW","CLT","16:06","15:50"
"US","01/02/2015","2042","N524UW","CLT","09:21","09:15"
"US","01/03/2015","0425","N570UW","PHX","16:50","17:32"
"US","01/03/2015","0622","N663AW","PHX","23:12","23:26"
"US","01/03/2015","0629","N173US","CLT","15:20","15:59"
"US","01/03/2015","0630","N582UW","PHX","20:30","20:47"
"US","01/03/2015","0632","N156UW","PHX","05:04","05:07"
"US","01/03/2015","1824","N509AY","CLT","20:25","20:49"
"US","01/03/2015","1830","N814AW","CLT","11:02","10:51"
"US","01/03/2015","1898","N191UW","CLT","23:51","00:07"
"US","01/03/2015","2017","N644AW","CLT","16:06","16:09"
"US","01/03/2015","2042","N109UW","CLT","09:21","09:16"
"US","01/04/2015","0425","N551UW","PHX","16:50","18:30"
"US","01/04/2015","0622","N649AW","PHX","23:12","02:22"
"US","01/04/2015","0630","N546UW","PHX","20:30","22:48"
"US","01/04/2015","0632","N177US","PHX","05:04","05:26"
"US","01/04/2015","0639","N179UW","CLT","15:20","18:44"
"US","01/04/2015","1824","N587UW","CLT","20:30","00:01"
"US","01/04/2015","1830","N822AW","CLT","11:02","11:15"
"US","01/04/2015","1836","N545UW","CLT","02:13","03:23"
"US","01/04/2015","1898","N104UW","CLT","23:51","00:11"
"US","01/04/2015","2017","N109UW","CLT","16:06","18:39"
"US","01/05/2015","0425","N575UW","PHX","16:50","16:54"
"US","01/05/2015","0622","N661AW","PHX","23:12","00:05"
"US","01/05/2015","0630","N915US","PHX","20:30","22:17"
"US","01/05/2015","0632","N177US","PHX","05:04","05:58"
"US","01/05/2015","0639","N538UW","CLT","15:20","14:57"
"US","01/05/2015","1824","N565UW","CLT","20:30","21:24"
"US","01/05/2015","1830","N519UW","CLT","11:02","10:49"
