Carrier Code,year,Total flights,Early Arrivals,Inflated padding(>20mins early)
MQ,2015,3768,1937,375
MQ,2016,0,0,0
MQ,2017,0,0,0
MQ,2018,5133,2801,910
MQ,2019,3273,1978,703
9E,2015,0,0,0
9E,2016,0,0,0
9E,2017,0,0,0
9E,2018,23714,15593,5436
9E,2019,14761,9647,3258
UA,2015,3573,2483,960
UA,2016,0,0,0
UA,2017,0,0,0
UA,2018,0,0,0
UA,2019,0,0,0
VX,2015,4006,2619,824
VX,2016,4412,2704,800
VX,2017,4368,2622,1029
VX,2018,1041,688,376
VX,2019,0,0,0
US,2015,1420,770,177
US,2016,0,0,0
US,2017,0,0,0
US,2018,0,0,0
US,2019,0,0,0
OO,2015,0,0,0
OO,2016,0,0,0
OO,2017,0,0,0
OO,2018,1474,755,147
OO,2019,2053,1186,292
OH,2015,0,0,0
OH,2016,0,0,0
OH,2017,0,0,0
OH,2018,366,209,80
OH,2019,254,166,42
AS,2015,107,84,56
AS,2016,366,276,127
AS,2017,421,290,103
AS,2018,4082,2458,993
AS,2019,3407,2114,821
B6,2015,44068,26937,8420
B6,2016,43693,25808,6812
B6,2017,42660,25406,9602
B6,2018,43196,24721,7586
B6,2019,27805,17966,7521
YX,2015,0,0,0
YX,2016,0,0,0
YX,2017,0,0,0
YX,2018,2846,1782,402
YX,2019,1804,1211,334
HA,2015,320,152,44
HA,2016,350,209,78
HA,2017,353,205,87
HA,2018,365,202,54
HA,2019,243,96,28
AA,2015,17107,10761,4074
AA,2016,18649,10876,3479
AA,2017,17023,10180,3923
AA,2018,17445,10929,4320
AA,2019,10571,6669,2529
DL,2015,27725,17731,5355
DL,2016,30256,21153,7438
DL,2017,29593,19713,8470
DL,2018,30025,20699,8060
DL,2019,21743,14970,5619
